Row,Src,Ref,SegIUR,Flip,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50
bike_01_02_1to2,2008_005727.jpg,2009_000756.jpg,0.386487,0,0.257232,0.622107,0.793464,0.828702,0.863590,0.886089,0.888514,0.891392,0.983038,0.997998,0.998057,0.998086,0.998115,0.998203,0.998232,0.998451,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
bike_01_02_1to2,2009_000756.jpg,2008_005727.jpg,0.709388,0,0.495372,0.917708,0.959551,0.972660,0.979539,0.983523,0.985438,0.990910,0.996300,0.996950,0.997128,0.997258,0.997400,0.997459,0.997482,0.997506,0.997541,0.998499,0.999314,0.999338,0.999362,0.999728,0.999917,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
bike_01_03_1to2,2008_005727.jpg,2009_001840.jpg,0.399194,1,0.001665,0.003725,0.005712,0.007509,0.009452,0.011556,0.013645,0.015559,0.017678,0.034727,0.060688,0.080674,0.111997,0.134920,0.155549,0.173343,0.190334,0.205221,0.219466,0.232790,0.244799,0.256998,0.269854,0.281849,0.294150,0.305750,0.317204,0.328293,0.341120,0.352998,0.364525,0.375804,0.386206,0.396944,0.409230,0.420407,0.431963,0.443957,0.455178,0.468049,0.481533,0.494025,0.507582,0.521622,0.535311,0.550286,0.565203,0.580543,0.596029,0.610960
bike_01_03_1to2,2009_001840.jpg,2008_005727.jpg,0.602735,1,0.003651,0.014863,0.026691,0.038341,0.049361,0.060970,0.073618,0.085733,0.097492,0.108267,0.119261,0.130336,0.141507,0.152200,0.162592,0.174228,0.186835,0.199264,0.212678,0.225969,0.240681,0.256898,0.272199,0.287910,0.303840,0.318443,0.332950,0.347526,0.362485,0.377499,0.392102,0.406623,0.421022,0.435010,0.448123,0.462070,0.475251,0.487776,0.499932,0.513154,0.526868,0.540788,0.554380,0.568504,0.582656,0.598231,0.612861,0.627369,0.641015,0.654743
Average,-,-,0.524451,1,0.189480,0.389601,0.446355,0.461803,0.475486,0.485534,0.490304,0.495899,0.523627,0.534486,0.543783,0.551589,0.562255,0.570695,0.578464,0.585882,0.593678,0.600746,0.607865,0.614524,0.621211,0.628406,0.635493,0.642440,0.649497,0.656048,0.662539,0.668955,0.675901,0.682624,0.689157,0.695607,0.701807,0.707988,0.714338,0.720619,0.726803,0.732933,0.738777,0.745301,0.752100,0.758703,0.765491,0.772532,0.779492,0.787129,0.794516,0.801978,0.809261,0.816426
w/o flip,-,-,0.547937,0,0.376302,0.769908,0.876507,0.900681,0.921565,0.934806,0.936976,0.941151,0.989669,0.997474,0.997592,0.997672,0.997757,0.997831,0.997857,0.997979,0.998771,0.999249,0.999657,0.999669,0.999681,0.999864,0.999959,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
